player_id,player_name,total_wpa,plate_appearances,role
500743,Miguel Rojas,1.1054,11,batter
518692,Freddie Freeman,-0.40800000000000003,35,batter
543807,George Springer,-0.18900000000000017,22,batter
571771,Enrique Hernández,-1.0648,29,batter
571970,Max Muncy,0.8620000000000001,32,batter
605141,Mookie Betts,-1.2516,35,batter
606192,Teoscar Hernández,-1.0587,33,batter
623168,Tyler Heineman,0.0,3,batter
643396,Isiah Kiner-Falefa,-0.21299999999999997,18,batter
660271,Shohei Ohtani,0.20019999999999988,36,batter
662139,Daulton Varsho,1.306,35,batter
664034,Ty France,0.04200000000000004,4,batter
664702,Myles Straw,0.0,9,batter
664770,Nathan Lukes,0.2594000000000001,26,batter
665489,Vladimir Guerrero Jr.,-0.16339999999999988,38,batter
665926,Andrés Giménez,-0.36129999999999984,32,batter
666182,Bo Bichette,1.4796,27,batter
669242,Tommy Edman,-0.8045,31,batter
669257,Will Smith,-1.7861,34,batter
669743,Alex Call,0.0,8,batter
672386,Alejandro Kirk,-0.954,34,batter
676391,Ernie Clement,1.8361999999999998,33,batter
676914,Davis Schneider,0.9813999999999999,11,batter
680718,Addison Barger,0.015000000000000069,28,batter
681624,Andy Pages,-0.052800000000000125,16,batter
