Date,Opponent,Hits,HR,RBI,Price
2024-08-13,Milwaukee Brewers,1,1,1,113653.0
2024-08-14,Milwaukee Brewers,0,0,0,83768.0
2024-08-15,Milwaukee Brewers,1,0,0,86561.0
2024-08-16,St. Louis Cardinals,0,0,0,83842.0
2024-08-17,St. Louis Cardinals,1,1,1,114858.0
2024-08-18,St. Louis Cardinals,1,1,1,115962.0
2024-08-19,Seattle Mariners,1,0,0,88318.0
2024-08-20,Seattle Mariners,2,0,0,91250.0
2024-08-21,Seattle Mariners,1,0,0,88548.0
2024-08-23,Tampa Bay Rays,2,1,4,141457.0
2024-08-24,Tampa Bay Rays,2,1,2,128710.0
2024-08-25,Tampa Bay Rays,0,0,0,87542.0
2024-08-27,Baltimore Orioles,2,0,0,93378.0
2024-08-28,Baltimore Orioles,2,1,1,123052.0
2024-08-29,Baltimore Orioles,0,0,0,88578.0
2024-08-30,Arizona Diamondbacks,2,1,1,124285.0
2024-08-31,Arizona Diamondbacks,1,1,2,129808.0
2024-09-01,Arizona Diamondbacks,0,0,0,90280.0
2024-09-02,Arizona Diamondbacks,2,0,0,96294.0
2024-09-03,Los Angeles Angels,1,0,1,100775.0
2024-09-04,Los Angeles Angels,0,0,0,90502.0
2024-09-06,Cleveland Guardians,2,1,1,126958.0
2024-09-07,Cleveland Guardians,0,0,0,91390.0
2024-09-08,Cleveland Guardians,2,1,1,128192.0
2024-09-09,Chicago Cubs,2,0,0,98421.0
2024-09-10,Chicago Cubs,0,0,0,92426.0
2024-09-11,Chicago Cubs,2,1,3,144763.0
2024-09-13,Atlanta Braves,0,0,0,93314.0
2024-09-14,Atlanta Braves,0,0,0,93314.0
2024-09-15,Atlanta Braves,2,0,2,114680.0
2024-09-16,Atlanta Braves,0,0,2,108618.0
2024-09-17,Miami Marlins,1,1,2,135554.0
2024-09-18,Miami Marlins,1,0,0,97410.0
2024-09-19,Miami Marlins,6,3,10,265346.0
2024-09-20,Colorado Rockies,3,1,2,147229.0
2024-09-21,Colorado Rockies,1,0,0,101230.0
2024-09-22,Colorado Rockies,4,1,1,144076.0
2024-09-24,San Diego Padres,1,0,0,102376.0
2024-09-25,San Diego Padres,2,0,2,121854.0
2024-09-26,San Diego Padres,3,0,1,117284.0
2024-09-27,Colorado Rockies,4,1,4,170690.0
2024-09-28,Colorado Rockies,2,0,0,107247.0
2024-09-29,Colorado Rockies,1,0,0,104057.0
